Policyholder_Number,Security_Code,ISIN,Other_Security_ID,ID_Type,Asset_Name,Acq_Cost_in_GBP,Cash_Value_in_GBP,Bid_Value_in_GBP,Accrued_Interest,Holding,Loc_Bid_Price,Currency_Local
ID-005639BA,BP4VN15,GB00BP4VN154,,sedol_isin,SVS BROWN SHIP BAL A DIS,0.00,0.00,595224.92,0.00,404200.00,1.47,GBP
ID-005639BA,CASH_GBP,,,sedol_isin,Cash,0.00,1794.94,,0.00,,,GBP
ID-005639BA,CASH_GBP,,,sedol_isin,Cash,0.00,111.32,,0.00,,,GBP
ID-061BC363,0504245,IE0005042456,,sedol_isin,ISHARES CORE FTSE 100 ETF,0.00,0.00,95490.63,0.00,9878.00,9.67,GBP
ID-061BC363,B1G52Y3,IE00B1FZSB30,,sedol_isin,ISHARES CORE UK GILTS ETF,0.00,0.00,6720.92,0.00,677.00,9.93,GBP
ID-061BC363,B53H013,IE00B53H0131,,sedol_isin,UBSCMCI COMPOSITE A USD,0.00,0.00,19527.39,0.00,228.00,115.40,USD
ID-061BC363,BD3J2B9,LU1291102447,,sedol_isin,BNPP MSCI JAPAN ESG ETF,0.00,0.00,37883.60,0.00,2547.00,17.04,EUR
ID-061BC363,BG0TQC2,IE00BG0TQC25,,sedol_isin,INVESCO MKT UK GILTS ETF,0.00,0.00,27861.93,0.00,962.00,28.96,GBP
ID-061BC363,BHZPJ89,IE00BHZPJ890,,sedol_isin,ISHS MSCI USA ESG CTB ETF,0.00,0.00,56811.07,0.00,6380.00,12.00,USD
ID-061BC363,BM92QJ1,IE000LZ4F7J0,,sedol_isin,ISHS MSCIESG CTB ETF HDG?,0.00,0.00,114577.17,0.00,16259.00,7.05,GBP
ID-061BC363,BMCMT66,IE000PBSSTH3,,sedol_isin,QMM US EQUITY GBP DIS,0.00,0.00,65414.55,0.00,5462.00,11.98,GBP
ID-061BC363,BMCMT88,IE000V470LW0,,sedol_isin,QMM US EQUITY GBPH DIS,0.00,0.00,109866.75,0.00,8559.00,12.84,GBP
ID-061BC363,BMCMTH7,IE000LNGBWW1,,sedol_isin,QMM CONT EURO EQ GBPH DIS,0.00,0.00,78772.01,0.00,7410.00,10.63,GBP
ID-061BC363,BMCMTR7,IE000R3U28Q9,,sedol_isin,QMM GL IG CREDIT GBPH DIS,0.00,0.00,35071.86,0.00,3335.00,10.52,GBP
ID-061BC363,BMCMTX3,IE000HR61W43,,sedol_isin,QMM GLB HY CORP GBPH ACC,0.00,0.00,36466.19,0.00,3132.00,11.64,GBP
ID-061BC363,BQTXCZ0,IE000QQ8Z0D8,,sedol_isin,AMUNDI MSCI ESG BR TR EUR,0.00,0.00,103293.20,0.00,216.00,547.98,EUR
ID-061BC363,BSNQ3R8,IE000FZW9C08,,sedol_isin,BLACKR ISHS EX-UK S HDG £,0.00,0.00,17230.46,0.00,1415.00,12.18,GBP
ID-061BC363,BSQL9F0,IE000SZ25OI0,,sedol_isin,XTRCK SP500 WGHT 4C HDG £,0.00,0.00,31360.33,0.00,3717.00,8.44,GBP
ID-061BC363,BZ1F4Z1,LU1291106513,,sedol_isin,BNPP MSCI PAC EX JAP PRI£,0.00,0.00,19255.08,0.00,78.00,246.86,GBP
ID-061BC363,CASH_GBP,,,sedol_isin,Cash,0.00,11624.18,,0.00,,,GBP
ID-061BC363,CASH_GBP,,,sedol_isin,Cash,0.00,14892.73,,0.00,,,GBP
ID-061BC363,IE00BHZPJ239,IE00BHZPJ239,,sedol_isin,ISHS MSCI EM ESG CTB ETF,0.00,0.00,54919.51,0.00,11217.00,6.60,USD
ID-061BC363,TPY0159,LU2533810946,,sedol_isin,BNP JPMESG GL DIV TRACKIH,0.00,0.00,13851.88,0.00,122.00,113.54,GBP
ID-061BC363,TPY0161,LU0303706948,,sedol_isin,GS III EM MKTS ENH IDX I,0.00,0.00,48409.70,0.00,10.92,5973.19,USD
ID-06C0A615,BP4VN26,GB00BP4VN261,,sedol_isin,SVS BROWN SHIP BAL I CAP,0.00,0.00,2102486.35,0.00,1172869.77,1.79,GBP
ID-06C0A615,CASH_GBP,,,sedol_isin,Cash,0.00,984.38,,0.00,,,GBP
ID-087CFAFE,3250415,GB0032504150,,sedol_isin,SVS BROWN SHIP DYN A CAP,0.00,0.00,216575.72,0.00,48395.73,4.48,GBP
ID-087CFAFE,CASH_GBP,,,sedol_isin,Cash,0.00,53.57,,0.00,,,GBP
ID-08C9D05C,CASH_GBP,,,sedol_isin,Cash,0.00,300.57,,0.00,,,GBP
ID-0B175627,0504245,IE0005042456,,sedol_isin,ISHARES CORE FTSE 100 ETF,0.00,0.00,74223.23,0.00,7678.00,9.67,GBP
ID-0B175627,B1G52Y3,IE00B1FZSB30,,sedol_isin,ISHARES CORE UK GILTS ETF,0.00,0.00,140513.84,0.00,14154.00,9.93,GBP
ID-0B175627,B4WXJK7,IE00B4WXJK79,,sedol_isin,ISHARESIII FTSE UK GIL0-5,0.00,0.00,43666.59,0.00,339.00,128.81,GBP
ID-0B175627,BCDBVY4,LU0953998605,,sedol_isin,JANUS HEN ABS RET I2 GBP,0.00,0.00,7762.94,0.00,476.00,16.31,GBP
ID-0B175627,BD3J2B9,LU1291102447,,sedol_isin,BNPP MSCI JAPAN ESG ETF,0.00,0.00,21745.51,0.00,1462.00,17.04,EUR
ID-0B175627,BDCNS92,LU1373034930,,sedol_isin,BRSF GBL EV DRIVEN D2£HDG,0.00,0.00,8280.06,0.00,59.00,140.34,GBP
ID-0B175627,BDZVH85,IE00BDZVH859,,sedol_isin,ISHARES II USD TIPS £ ETF,0.00,0.00,18367.60,0.00,3793.00,4.84,GBP
ID-0B175627,BF2V2C1,LU1725201468,,sedol_isin,SCHRODER GAIA CONT C HDG£,0.00,0.00,8336.24,0.00,44.00,189.46,GBP
ID-0B175627,BF6SWG2,IE00BF6SWG20,,sedol_isin,RV CAPITAL ASIA OPP A GBP,0.00,0.00,3062.45,0.00,25385.00,0.12,GBP
ID-0B175627,BFWY8B1,IE00BFWY8B17,,sedol_isin,AMUNDI/SANDLER US SI GBP,0.00,0.00,4942.93,0.00,38.00,130.08,GBP
ID-0B175627,BG08P77,IE00BG08P774,,sedol_isin,MONTLAKE COOPER N/AM POOL,0.00,0.00,5599.81,0.00,54.00,103.70,GBP
ID-0B175627,BG0TQC2,IE00BG0TQC25,,sedol_isin,INVESCO MKT UK GILTS ETF,0.00,0.00,32119.41,0.00,1109.00,28.96,GBP
ID-0B175627,BK74KV5,IE00BK74KV56,,sedol_isin,ISHARES €CORP BD SRI ETF£,0.00,0.00,20043.80,0.00,4120.00,4.87,GBP
ID-0B175627,BK8M8N6,IE00BK8M8N66,,sedol_isin,BLACKROCK ICS £ LIQ HERIT,0.00,0.00,14351.42,0.00,122.65,117.01,GBP
ID-0B175627,BKPV6D2,LU2183780134,,sedol_isin,AMUNDI US CORP BD ESG IHG,0.00,0.00,9671.88,0.00,12.03,803.98,GBP
ID-0B175627,BM92QJ1,IE000LZ4F7J0,,sedol_isin,ISHS MSCIESG CTB ETF HDG?,0.00,0.00,97016.05,0.00,13767.00,7.05,GBP
ID-0B175627,BMCMT55,IE0007L4ZKN0,,sedol_isin,QMM US EQUITY GBP ACC,0.00,0.00,77076.65,0.00,6392.00,12.06,GBP
ID-0B175627,BMCMT77,IE000KY07VI3,,sedol_isin,QMM US EQUITY GBPH ACC,0.00,0.00,49236.21,0.00,3811.00,12.92,GBP
ID-0B175627,BMCMTG6,IE0005ROYD13,,sedol_isin,QMM CONT EURO EQ GBPH ACC,0.00,0.00,51134.68,0.00,4662.00,10.97,GBP
ID-0B175627,BMCMTR7,IE000R3U28Q9,,sedol_isin,QMM GL IG CREDIT GBPH DIS,0.00,0.00,47954.33,0.00,4560.00,10.52,GBP
ID-0B175627,BMCMTY4,IE000N0WGY67,,sedol_isin,QMM GLB HY CORP GBPH DIS,0.00,0.00,59968.73,0.00,5636.00,10.64,GBP
ID-0B175627,BNGJH55,IE00BNGJH556,,sedol_isin,GRAHAM MACRO K GBP,0.00,0.00,8281.02,0.00,66.00,125.47,GBP
ID-0B175627,BNTWDJ7,LU2589021224,,sedol_isin,LUMYNA HBK B,0.00,0.00,13936.25,0.00,125.00,111.49,GBP
ID-0B175627,BQTXCZ0,IE000QQ8Z0D8,,sedol_isin,AMUNDI MSCI ESG BR TR EUR,0.00,0.00,56906.90,0.00,119.00,547.98,EUR
ID-0B175627,BSNQ3R8,IE000FZW9C08,,sedol_isin,BLACKR ISHS EX-UK S HDG £,0.00,0.00,3433.91,0.00,282.00,12.18,GBP
ID-0B175627,BSQL9F0,IE000SZ25OI0,,sedol_isin,XTRCK SP500 WGHT 4C HDG £,0.00,0.00,22315.87,0.00,2645.00,8.44,GBP
ID-0B175627,BVYTYH4,IE00BQQP9F84,,sedol_isin,VANECK GOLD MIN A$ ETF,0.00,0.00,7394.78,0.00,117.00,85.16,USD
ID-0B175627,BYXPR31,LU1586024074,,sedol_isin,BLACKROCK STR ASI PAC Z2£,0.00,0.00,10064.16,0.00,48.00,209.67,GBP
ID-0B175627,BZ1F4Z1,LU1291106513,,sedol_isin,BNPP MSCI PAC EX JAP PRI£,0.00,0.00,11759.18,0.00,47635.00,0.25,GBP
ID-0B175627,CASH_GBP,,,sedol_isin,Cash,0.00,50667.31,,0.00,,,GBP
ID-0B175627,IE00BHZPJ239,IE00BHZPJ239,,sedol_isin,ISHS MSCI EM ESG CTB ETF,0.00,0.00,25944.41,0.00,5299.00,6.60,USD
ID-0B175627,TPY0159,LU2533810946,,sedol_isin,BNP JPMESG GL DIV TRACKIH,0.00,0.00,21118.44,0.00,186.00,113.54,GBP
ID-0B175627,TPY0161,LU0303706948,,sedol_isin,GS III EM MKTS ENH IDX I,0.00,0.00,43666.26,0.00,9.85,5973.19,USD
ID-0B175627,TPY0211,IE000QXUHMG1,,sedol_isin,AMUNDI II ALT MA SYS EQ I,0.00,0.00,7918.21,0.00,75.20,105.30,GBP
ID-0F593B45,0504245,IE0005042456,,sedol_isin,ISHARES CORE FTSE 100 ETF,0.00,0.00,48615.34,0.00,5029.00,9.67,GBP
ID-0F593B45,B1G52Y3,IE00B1FZSB30,,sedol_isin,ISHARES CORE UK GILTS ETF,0.00,0.00,33654.23,0.00,3390.00,9.93,GBP
ID-0F593B45,B53H013,IE00B53H0131,,sedol_isin,UBSCMCI COMPOSITE A USD,0.00,0.00,10448.86,0.00,122.00,115.40,USD
ID-0F593B45,BCDBVY4,LU0953998605,,sedol_isin,JANUS HEN ABS RET I2 GBP,0.00,0.00,3310.39,0.00,202983.00,0.02,GBP
ID-0F593B45,BD3J2B9,LU1291102447,,sedol_isin,BNPP MSCI JAPAN ESG ETF,0.00,0.00,14844.06,0.00,998.00,17.04,EUR
ID-0F593B45,BDCNS92,LU1373034930,,sedol_isin,BRSF GBL EV DRIVEN D2£HDG,0.00,0.00,3685.33,0.00,26.26,140.34,GBP
ID-0F593B45,BF2V2C1,LU1725201468,,sedol_isin,SCHRODER GAIA CONT C HDG£,0.00,0.00,2084.06,0.00,11.00,189.46,GBP
ID-0F593B45,BF6SWG2,IE00BF6SWG20,,sedol_isin,RV CAPITAL ASIA OPP A GBP,0.00,0.00,2075.37,0.00,17203.00,0.12,GBP
ID-0F593B45,BFWY8B1,IE00BFWY8B17,,sedol_isin,AMUNDI/SANDLER US SI GBP,0.00,0.00,2096.63,0.00,161184.00,0.01,GBP
ID-0F593B45,BG08P77,IE00BG08P774,,sedol_isin,MONTLAKE COOPER N/AM POOL,0.00,0.00,9333018.00,0.00,9.00,1037002.00,GBP
ID-0F593B45,BG0TQC2,IE00BG0TQC25,,sedol_isin,INVESCO MKT UK GILTS ETF,0.00,0.00,20447.53,0.00,706.00,28.96,GBP
ID-0F593B45,BHZPJ89,IE00BHZPJ890,,sedol_isin,ISHS MSCI USA ESG CTB ETF,0.00,0.00,12225.96,0.00,1373.00,12.00,USD
ID-0F593B45,BM92QJ1,IE000LZ4F7J0,,sedol_isin,ISHS MSCIESG CTB ETF HDG?,0.00,0.00,56080.03,0.00,7958.00,7.05,GBP
ID-0F593B45,BMCMT55,IE0007L4ZKN0,,sedol_isin,QMM US EQUITY GBP ACC,0.00,0.00,39671.81,0.00,3290.00,12.06,GBP
ID-0F593B45,BMCMT77,IE000KY07VI3,,sedol_isin,QMM US EQUITY GBPH ACC,0.00,0.00,39546.59,0.00,3061.00,12.92,GBP
ID-0F593B45,BMCMTG6,IE0005ROYD13,,sedol_isin,QMM CONT EURO EQ GBPH ACC,0.00,0.00,32740.67,0.00,2985.00,10.97,GBP
ID-0F593B45,BMCMTR7,IE000R3U28Q9,,sedol_isin,QMM GL IG CREDIT GBPH DIS,0.00,0.00,17751.51,0.00,1688.00,10.52,GBP
ID-0F593B45,BMCMTY4,IE000N0WGY67,,sedol_isin,QMM GLB HY CORP GBPH DIS,0.00,0.00,30420.62,0.00,2859.00,10.64,GBP
ID-0F593B45,BNGJH55,IE00BNGJH556,,sedol_isin,GRAHAM MACRO K GBP,0.00,0.00,2839.85,0.00,2263371.00,0.00,GBP
ID-0F593B45,BNTWDJ7,LU2589021224,,sedol_isin,LUMYNA HBK B,0.00,0.00,4682.58,0.00,42.00,111.49,GBP
ID-0F593B45,BQTXCZ0,IE000QQ8Z0D8,,sedol_isin,AMUNDI MSCI ESG BR TR EUR,0.00,0.00,43038.83,0.00,90.00,547.98,EUR
ID-0F593B45,BSNQ3R8,IE000FZW9C08,,sedol_isin,BLACKR ISHS EX-UK S HDG £,0.00,0.00,5418.77,0.00,445.00,12.18,GBP
ID-0F593B45,BSQL9F0,IE000SZ25OI0,,sedol_isin,XTRCK SP500 WGHT 4C HDG £,0.00,0.00,13203.91,0.00,1565.00,8.44,GBP
ID-0F593B45,BYXPR31,LU1586024074,,sedol_isin,BLACKROCK STR ASI PAC Z2£,0.00,0.00,3564.39,0.00,17.00,209.67,GBP
ID-0F593B45,BZ1F4Z1,LU1291106513,,sedol_isin,BNPP MSCI PAC EX JAP PRI£,0.00,0.00,9874.40,0.00,40.00,246.86,GBP
ID-0F593B45,CASH_GBP,,,sedol_isin,Cash,0.00,13181.80,,0.00,,,GBP
ID-0F593B45,IE00BHZPJ239,IE00BHZPJ239,,sedol_isin,ISHS MSCI EM ESG CTB ETF,0.00,0.00,27143.96,0.00,5544.00,6.60,USD
ID-0F593B45,TPY0159,LU2533810946,,sedol_isin,BNP JPMESG GL DIV TRACKIH,0.00,0.00,10672.76,0.00,94.00,113.54,GBP
ID-0F593B45,TPY0161,LU0303706948,,sedol_isin,GS III EM MKTS ENH IDX I,0.00,0.00,16681.84,0.00,3763.00,5.97,USD
ID-0F593B45,TPY0211,IE000QXUHMG1,,sedol_isin,AMUNDI II ALT MA SYS EQ I,0.00,0.00,4001.23,0.00,38.00,105.30,GBP
ID-1182608C,0504245,IE0005042456,,sedol_isin,ISHARES CORE FTSE 100 ETF,0.00,0.00,939062.05,0.00,97141.00,9.67,GBP
ID-1182608C,0989529,GB0009895292,,sedol_isin,ASTRAZENECA,0.00,0.00,35440.30,0.00,257.00,137.90,GBP
ID-1182608C,2000019,US0231351067,,sedol_isin,AMAZON COM,0.00,0.00,113577.01,0.00,663.00,230.82,USD
ID-1182608C,2046251,US0378331005,,sedol_isin,APPLE,0.00,0.00,116620.96,0.00,578.00,271.86,USD
ID-1182608C,2073390,US0846707026,,sedol_isin,BERKSHIRE HATHAWAY B,0.00,0.00,67895.43,0.00,182.00,502.65,USD
ID-1182608C,2190385,US46625H1005,,sedol_isin,JP MORGAN CHASE,0.00,0.00,68394.63,0.00,286.00,322.22,USD
ID-1182608C,2270726,US2546871060,,sedol_isin,WALT DISNEY,0.00,0.00,45849.12,0.00,543.00,113.77,USD
ID-1182608C,2379504,US67066G1040,,sedol_isin,NVIDIA CORP,0.00,0.00,157239.13,0.00,1136.00,186.50,USD
ID-1182608C,2516152,US5324571083,,sedol_isin,ELI LILLY & CO,0.00,0.00,32701.41,0.00,41.00,1074.68,USD
ID-1182608C,2567116,US28176E1082,,sedol_isin,EDWARDS LIFESCIENCES,0.00,0.00,33267.03,0.00,520.00,86.20,USD
ID-1182608C,2588173,US5949181045,,sedol_isin,MICROSOFT,0.00,0.00,150032.03,0.00,418.00,483.62,USD
ID-1182608C,2704407,US7427181091,,sedol_isin,PROCTER & GAMBLE,0.00,0.00,53286.56,0.00,501.00,143.31,USD
ID-1182608C,2778844,US58933Y1055,,sedol_isin,MERCK & CO,0.00,0.00,32888.87,0.00,421.00,105.26,USD
ID-1182608C,2838555,US1667641005,,sedol_isin,CHEVRON,0.00,0.00,27147.39,0.00,240.00,152.41,USD
ID-1182608C,2867719,US8716071076,,sedol_isin,SYNOPSYS,0.00,0.00,31375.09,0.00,90.00,469.72,USD
ID-1182608C,2886907,US8835561023,,sedol_isin,THERMO FISHER SCIENTIFIC,0.00,0.00,38274.49,0.00,89.00,579.45,USD
ID-1182608C,2917766,US91324P1021,,sedol_isin,UNITEDHEALTH GROUP,0.00,0.00,24744.78,0.00,101.00,330.11,USD
ID-1182608C,2937667,US94106L1098,,sedol_isin,WASTE MANAGEMENT,0.00,0.00,24459.33,0.00,150.00,219.71,USD
ID-1182608C,4031879,FR0000124141,,sedol_isin,VEOLIA ENVIRONNEMENT,0.00,0.00,26869.64,0.00,1036.00,29.72,EUR
ID-1182608C,4061412,FR0000121014,,sedol_isin,LVMH,0.00,0.00,37712.71,0.00,67.00,645.00,EUR
ID-1182608C,4834108,FR0000121972,,sedol_isin,SCHNEIDER ELECTRIC,0.00,0.00,46533.12,0.00,227.00,234.90,EUR
ID-1182608C,5231485,DE0008404005,,sedol_isin,ALLIANZ (NOM),0.00,0.00,46686.88,0.00,137.00,390.50,EUR
ID-1182608C,5334588,DE0007030009,,sedol_isin,RHEINMETALL (ORD),0.00,0.00,29969.46,0.00,22.00,1561.00,EUR
ID-1182608C,5705946,ES0113900J37,,sedol_isin,BANCO SANTANDER SA,0.00,0.00,37673.52,0.00,4287.00,10.07,EUR
ID-1182608C,5727973,DE0007236101,,sedol_isin,SIEMENS (NOM),0.00,0.00,59270.97,0.00,284.00,239.15,EUR
ID-1182608C,7110388,CH0012032048,,sedol_isin,ROCHE (BON),0.00,0.00,31103.17,0.00,101.00,328.20,CHF
ID-1182608C,B09DHL9,DE000A0D9PT0,,sedol_isin,MTU AERO ENGINES,0.00,0.00,29455.89,0.00,95.00,355.30,EUR
ID-1182608C,B0SWJX3,GB00B0SWJX34,,sedol_isin,LSE GROUP,0.00,0.00,35181.36,0.00,393.00,89.52,GBP
ID-1182608C,B15C557,FR0000120271,,sedol_isin,TOTAL ENERGIES,0.00,0.00,21345.32,0.00,440.00,55.59,EUR
ID-1182608C,B1G52Y3,IE00B1FZSB30,,sedol_isin,ISHARES CORE UK GILTS ETF,0.00,0.00,73840.75,0.00,7438.00,9.93,GBP
ID-1182608C,B2B0DG9,GB00B2B0DG97,,sedol_isin,RELX PLC,0.00,0.00,24733.80,0.00,819.00,30.20,GBP
ID-1182608C,B2PZN04,US92826C8394,,sedol_isin,VISA A,0.00,0.00,56742.45,0.00,218.00,350.71,USD
ID-1182608C,B53H013,IE00B53H0131,,sedol_isin,UBSCMCI COMPOSITE A USD,0.00,0.00,214030.43,0.00,2499.00,115.40,USD
ID-1182608C,B616C79,US88160R1014,,sedol_isin,TESLA,0.00,0.00,32375.57,0.00,97.00,449.72,USD
ID-1182608C,B7FBFL2,US03027X1000,,sedol_isin,AMERICAN TOWER,0.00,0.00,23214.67,0.00,177.00,176.72,USD
ID-1182608C,B7TL820,US30303M1027,,sedol_isin,META PLATFORMS A,0.00,0.00,36742.43,0.00,75.00,660.09,USD
ID-1182608C,B80NXX8,US81762P1021,,sedol_isin,SERVICENOW,0.00,0.00,33539.45,0.00,295.00,153.19,USD
ID-1182608C,B8KQN82,IE00B8KQN827,,sedol_isin,EATON CORP PUBLIC,0.00,0.00,28603.02,0.00,121.00,318.51,USD
ID-1182608C,B929F46,NL0010273215,,sedol_isin,ASML HOLDING,0.00,0.00,62718.56,0.00,78.00,921.40,EUR
ID-1182608C,BD3J2B9,LU1291102447,,sedol_isin,BNPP MSCI JAPAN ESG ETF,0.00,0.00,416645.19,0.00,28012.00,17.04,EUR
ID-1182608C,BDR05C0,GB00BDR05C01,,sedol_isin,NATIONAL GRID RG,0.00,0.00,17784.57,0.00,1558.00,11.42,GBP
