PSLAccountReference,BaseCcyOfTheAccount,SubAccountReference,FundManagerCode,FundManagerName,ISIN,Sedol,Sedol Description,CCYOfTheAsset,Exchange,ValueDate,Holding,Price,Cost,Value,AccruedInterest,QuarterUpValuation
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,,,ID-5ADAC984,GBP,,31/12/2025,0,0,4728.36,4728.36,0,0
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,IE00BDZVHB89,BDZVHB8,ID-53F0F6A8,GBP,ACXL,31/12/2025,1789,4.726,8702.23,8454.81,0,8453.9195000000000000000000
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,IE00BFRTDB69,BFRTDB6,ID-31F6EF32,GBP,ACXD,31/12/2025,24.99,109.7877,2714.6681,2743.59,0,2057.6959672500000000000000
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,LU2183780134,BKPV6D2,ID-6A4CC49D,GBP,ACXX,31/12/2025,8.1797,805.77,6811.3972,6590.96,0,4943.2176517500000000000000
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,IE0007456LO7,BM9FL62,ID-43678128,GBP,ACXX,31/12/2025,586.982,10.9447,6357.959,6424.34,0,4818.2564215500000000000000
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,GB00BN091B58,BN091B5,ID-7A73D897,GBP,ACXX,31/12/2025,5274.635,1.13551,5921.2,5989.42,0,4492.0624595662500000000000
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,LU2621112379,BR2Q5L0,ID-B30DEC76,GBP,ACXL,31/12/2025,7.7339,1093.23,8641.3986,8454.93,0,6341.1986227500000000000000
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,IE000N4CLDW5,BRJS661,ID-B96F6F79,GBP,ACXD,31/12/2025,105.3728,112.7931,11778.5421,11885.32,0,8913.9935757600000000000000
ID-CDD9E6F1,GBP,ID-06BCF8B5,OSB,SLI,LU3152335009,BTXZ9T6,ID-8DF69730,GBP,ACXX,31/12/2025,733.777,180.077,127533.52,132136.36,0,99102.2706217500000000000000
ID-1F420478,GBP,ID-4E704FEC,OSB,SLI,,,ID-C0482BD0,GBP,,31/12/2025,0,0,7326.99,7326.99,0,0
