PSLAccountReference,BaseCcyOfTheAccount,SubAccountReference,FundManagerCode,FundManagerName,ISIN,Sedol,Sedol Description,CCYOfTheAsset,Exchange,ValueDate,Holding,Price,Cost,Value,AccruedInterest,QuarterUpValuation
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,,,ID-EAE8B2F8,GBP,,31/12/2025,0,0,23791.55,23791.55,0,0
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00B2R83B20,B2R83B2,ID-76FD851C,GBP,ACXX,31/12/2025,1292.757,6.1287,7400,7922.92,0,5942.1898694250000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00B4KK1F92,B4KK1F9,ID-B42DBBFB,GBP,ACXX,31/12/2025,11393.9188,1.611,14126.28,18355.6,0,13766.7023901000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00B53R4H74,B53R4H7,ID-C060C2DD,GBP,ACXX,31/12/2025,9966.2162,1.186,11800,11819.93,0,11819.9324132000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00B6865B79,B6865B7,ID-7F23174B,GBP,ACXX,31/12/2025,5298.475,2.22601,11627.37,11794.46,0,11788.5465612687500000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00B6R2TC51,B6R2TC5,ID-484F24EC,GBP,ACXX,31/12/2025,35.2687,146.4373,5000,5164.65,0,3873.4899018825000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00B8449Z10,B8449Z1,ID-1F821E93,GBP,ACXX,31/12/2025,2602.2014,4.534,10000,11798.38,0,8848.7858607000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00B8SC6K54,B8SC6K5,ID-87041A91,GBP,ACXL,31/12/2025,8400,0.985,9955.104,8274,0,8271.9000000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00BF2NR112,BF2NR11,ID-465CFF6B,EUR,ACXD,31/12/2025,9258,0.692,8499.14,5590.83,0,4193.1250602030000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00BFRTD722,BFRTD72,ID-1EC35FA1,GBP,ACXD,31/12/2025,121.22,125.0936,14999.47,15163.85,0,11372.8846440000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00BF2GC043,BH45FY8,ID-67258C38,GBP,ACXL,31/12/2025,380,36.37,15417.58,13820.6,0,13815.8500000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00BJLP1Y77,BJLP1Y7,ID-B4C38C42,GBP,ACXL,31/12/2025,3586,1.168,4988.4802,4188.45,0,4184.8620000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00BJRSTJ16,BJRSTJ1,ID-5931E715,GBP,ACXX,31/12/2025,27700.83,0.7376,15846.59,20432.13,0,15324.0991560000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00BL4KHN44,BL4KHN4,ID-F17F01AD,GBP,ACXX,31/12/2025,781.86,15.05,9999.99,11766.99,0,8825.2447500000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,LU2081485240,BL4KLG5,ID-186B2BDD,GBP,ACXX,31/12/2025,181.81,116.29,17462.888,21142.68,0,15857.0136750000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00BLDYK618,BLDYK61,ID-AFFDFE7C,GBP,ACXL,31/12/2025,943,11.835,8435.6365,11160.41,0,11158.0475000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE000GIMZ1H0,BLFDQ68,ID-FB586B39,GBP,ACXX,31/12/2025,107,106.24,10705,11367.68,0,8525.7600000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE0003RA2ZR3,BLR4K67,ID-BDF74908,GBP,ACXL,31/12/2025,175,64.81,8242.9657,11341.75,0,11329.5000000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00BM8Z2S21,BM8Z2S2,ID-F54D84FA,GBP,ACXL,31/12/2025,19628.37,78.22,15024.79,15353.31,70.94,1151498.3260500000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE00BMDPBZ72,BMXB1V1,ID-19056D41,GBP,ACXL,31/12/2025,1736,42.745,57540.7396,74205.32,0,74148.9000000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00BN08ZZ41,BN08ZZ4,ID-CE571995,GBP,ACXX,31/12/2025,12508.467,1.43573,16156.06,17958.83,0,13469.1235198335000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GB00BNR5HG37,BNR5HG3,ID-0753EDCA,GBP,ACXX,31/12/2025,12855.465,1.1882,14225.8637,15274.86,0,11456.1476347500000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE000IKG3JC0,BNYN9Q4,ID-BCB9CF6B,GBP,ACXX,31/12/2025,2802.0259,4.1809,6155.6364,11714.99,0,8786.2425639825000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,LU2471913132,BPP1RK1,ID-F46D6BE8,GBP,ACXX,31/12/2025,101.747,113.33,10873.27,11530.99,0,8648.2406325000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,GG00BQBFY362,BQBFY36,ID-2DA8E63A,GBP,ACXL,31/12/2025,2320,4,9955.98,9280,0,9274.2000000000000000000000
ID-B91A4194,GBP,ID-629326A0,OSB,SLS,IE000CO1RY15,BRBYJS0,ID-963C97B9,GBP,ACXX,31/12/2025,1562.3513,11.32,16931.3721,17685.82,0,13264.3625370000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,,,ID-664EEAD6,GBP,,31/12/2025,0,0,4179.07,4179.07,0,0
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00B11DP106,B11DP10,ID-30B3712C,GBP,ACXF,31/12/2025,1718.59,2.384,3786.15,4097.12,0,3072.8389200000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00B8K9HG76,B8K9HG7,ID-4A0DA7D8,GBP,ACXX,31/12/2025,58033.247,1.9649,87148.7205,114029.53,0,85522.1452727250000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,IE00BDZVH859,BDZVH85,ID-4BD4E741,GBP,ACXL,31/12/2025,1704,4.842,8322.6077,8250.77,0,8249.9160000000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,IE00BFRTDB69,BFRTDB6,ID-31F6EF32,GBP,ACXD,31/12/2025,75.45,109.7877,7912.7111,8283.48,0,6212.6114737500000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BFZ91W59,BFZ91W5,ID-1E33B795,GBP,ACXX,31/12/2025,10455.38,1.1809,11905.7028,12346.76,0,9260.0686815000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BJ4KSV52,BJ4KSV5,ID-31193D0C,GBP,ACXX,31/12/2025,29176.3832,0.9953,26784.9409,29039.25,0,29039.2541989600000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BKGR3F07,BKGR3F0,ID-AD79F05E,GBP,ACXX,31/12/2025,12199.656,0.6679,7859.1949,8148.15,0,6111.1126818000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BKX8BD03,BKX8BD0,ID-422A7F56,GBP,ACXX,31/12/2025,17451.071,1.676,22353.6354,29247.99,0,21935.9962470000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BMF4TL42,BMF4TL4,ID-48F2031D,GBP,ACXX,31/12/2025,14265.645,1.424,18525.9939,20314.28,0,15235.7088600000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,IE0006TC5KE9,BRCFP95,ID-6F353238,GBP,ACXX,31/12/2025,32.772,122.93,3295.225,4028.66,0,3021.4964700000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BS39P154,BS39P15,ID-38DBA90C,GBP,ACXX,31/12/2025,18931.6,1.0865,20081.2765,20569.18,0,15426.8875500000000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BTXZZF47,BTXZZF4,ID-FBEB6275,GBP,ACXX,31/12/2025,20743.773,0.9897,20656.65,20530.11,0,15397.5841035750000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BYXG9N83,BYXG9N8,ID-B89E94E2,GBP,ACXX,31/12/2025,14168.773,1.4629,15842.7128,20727.5,0,15545.6235162750000000000000
ID-DE775FA9,GBP,ID-94D7DD77,OB1,SLS,GB00BYXG9Q15,BYXG9Q1,ID-376DCE27,GBP,ACXX,31/12/2025,13003.502,1.7732,14104.1413,23057.81,0,17293.3573098000000000000000
